"Tweet Id","Text","Name","Screen Name","UTC","Created At","Favorites","Retweets","Language","Client","Tweet Type","URLs","Hashtags","Mentions","Media Type","Media URLs"
"1401900657033068549","A esta hora, salen 2 carros de Bomberos de Santiago a una emergencia por presunta emanación de gas en las esquinas de JOSÉ BISQUERT y CRONISTA GONGORA, en la comuna de INDEPENDENCIA #Independencia #H4 #B2 https://t.co/9XgrBgQkBc","Bomberos de Santiago","CentralCBS","2021-06-07T13:55:37.000Z","Mon Jun 07 13:55:37 +0000 2021","5","1","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4098602,-70.6685542 ","3","0","",""
"1401875494589587460","Estamos respondiendo a un rescate de persona (s) en las esquinas de NUEVA BILBAO y CIRIO, en la comuna de LAS CONDES. Concurren 2 carros de Bomberos de Santiago #LasCondes #RX15 #B20 https://t.co/oXsnarC4R2","Bomberos de Santiago","CentralCBS","2021-06-07T12:15:38.000Z","Mon Jun 07 12:15:38 +0000 2021","11","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4292111,-70.5314462 ","3","0","",""
"1401873328642666496","A esta hora, salen 2 carros de Bomberos de Santiago a un rescate vehicular en las esquinas de RAMÓN CARNICER y RANCAGUA, en la comuna de PROVIDENCIA #Providencia #RX7 #B3 https://t.co/6ECA2uzR0y","Bomberos de Santiago","CentralCBS","2021-06-07T12:07:01.000Z","Mon Jun 07 12:07:01 +0000 2021","5","2","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4414155,-70.6324092 ","3","0","",""
"1401774473989263361","Estamos respondiendo a un emergencia por fuego en árbol o vegetación en las esquinas de YUNGAY y MATURANA, en la comuna de SANTIAGO. Concurre un carro de Bomberos de Santiago #Santiago #B4 https://t.co/oHu9Gahfwf","Bomberos de Santiago","CentralCBS","2021-06-07T05:34:12.000Z","Mon Jun 07 05:34:12 +0000 2021","5","3","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4299307,-70.6678601 ","2","0","",""
"1401773507562905602","A esta hora, sale un carro de Bomberos de Santiago a prestar apoyo en un incidente que no es una emergencia en las esquinas de CATEDRAL y AVENIDA BRASIL, en la comuna de SANTIAGO #Santiago #Q12 https://t.co/wlCzQBUbhT","Bomberos de Santiago","CentralCBS","2021-06-07T05:30:22.000Z","Mon Jun 07 05:30:22 +0000 2021","6","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4385523,-70.6649537 ","2","0","",""
"1401767273560522754","Hemos despachado 3 carros a un llamado estructural en las esquinas de AVENIDA MÉXICO y AVENIDA RECOLETA, en la comuna de RECOLETA #Recoleta #B2 #B1 #Q8 https://t.co/bqBoZiqXkQ","Bomberos de Santiago","CentralCBS","2021-06-07T05:05:36.000Z","Mon Jun 07 05:05:36 +0000 2021","5","5","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4082298,-70.6437256 ","4","0","",""
"1401738482385567746","Hemos despachado 2 carros a un rescate de persona (s) en las esquinas de BELLAVISTA y PATRONATO, en la comuna de RECOLETA #Recoleta #RH1 #B2 https://t.co/wkgPVIh6ck","Bomberos de Santiago","CentralCBS","2021-06-07T03:11:11.000Z","Mon Jun 07 03:11:11 +0000 2021","11","3","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4333267,-70.6436742 ","3","0","",""
"1401730097246261251","Estamos respondiendo a una Emanación de gas en las esquinas de AVENIDA PROVIDENCIA y LA CONCEPCION, en la comuna de PROVIDENCIA. Concurren 2 carros de Bomberos de Santiago #Providencia #H4Ñ #B13 https://t.co/LLwFq7Ddrr","Bomberos de Santiago","CentralCBS","2021-06-07T02:37:52.000Z","Mon Jun 07 02:37:52 +0000 2021","8","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4264634,-70.6148139 ","3","0","",""
"1401724842995556353","Bomberos de Santiago ha despachado un carro a un rescate de persona (s) en las esquinas de AVENIDA PADRE ALFREDO ARTEAGA BARROS y SAN JOSEMARIA ESCRIVA DE BALAGUER, en la comuna de LO BARNECHEA #LoBarnechea #RH19 https://t.co/i6pr3QDClu","Bomberos de Santiago","CentralCBS","2021-06-07T02:17:00.000Z","Mon Jun 07 02:17:00 +0000 2021","10","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.3645789561205,-70.5076062966887 ","2","0","",""
"1401719620311130115","Bomberos de Santiago ha despachado un carro a prestar apoyo en un incidente que no es una emergencia en las esquinas de ROSAL y VICTORIA SUBERCASEAUX, en la comuna de SANTIAGO #Santiago #Q8 https://t.co/Wk3bJ2fahR","Bomberos de Santiago","CentralCBS","2021-06-07T01:56:14.000Z","Mon Jun 07 01:56:14 +0000 2021","6","5","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4381114,-70.6421631 ","2","0","",""
"1401694901230837763","Hemos despachado 2 carros a una emergencia por rescate de persona (s) en las esquinas de SANTA ROSA y AVENIDA MANUEL ANTONIO MATTA, en la comuna de SANTIAGO #Santiago #RX7 #BX10 https://t.co/ufSWE5riXG","Bomberos de Santiago","CentralCBS","2021-06-07T00:18:01.000Z","Mon Jun 07 00:18:01 +0000 2021","12","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4582346,-70.6432898 ","3","0","",""
"1401685245246771207","Se despachan 3 carros de Bomberos de Santiago a LOS MILITARES y WARREN SMITH, comuna de LAS CONDES. Se recibió reporte de una emergencia No Clasificada #LasCondes #B20 #Q6Ñ #Q15 https://t.co/r4bP5fn6UQ","Bomberos de Santiago","CentralCBS","2021-06-06T23:39:39.000Z","Sun Jun 06 23:39:39 +0000 2021","6","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4076707,-70.5761801 ","4","0","",""
"1401677788923535370","Bomberos de Santiago ha despachado 2 carros a una emergencia por un Accidente Eléctrico en las esquinas de CIRCUNVALACIÓN SUR y UNO SUR, en la comuna de LO BARNECHEA #LoBarnechea #B19 #Q15 https://t.co/NrxBQuctfy","Bomberos de Santiago","CentralCBS","2021-06-06T23:10:01.000Z","Sun Jun 06 23:10:01 +0000 2021","8","7","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.357293,-70.5000359 ","3","0","",""
"1401668826203369475","Hemos despachado 2 carros a una emergencia de Accidente eléctrico en las esquinas de CHILLÁN y GRUMETE PANTALEON CORTES, en la comuna de INDEPENDENCIA #Independencia #BX22 #Q8 https://t.co/RRXZhLXORm","Bomberos de Santiago","CentralCBS","2021-06-06T22:34:24.000Z","Sun Jun 06 22:34:24 +0000 2021","8","3","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4079154,-70.6731301 ","3","0","",""
"1401658949967958017","Se despachan 3 carros de Bomberos de Santiago a LIRA y COQUIMBO, comuna de SANTIAGO. Se recibió reporte de una Emanación de gas #Santiago #H4 #B10 #H4Ñ https://t.co/we4Nxe2wQU","Bomberos de Santiago","CentralCBS","2021-06-06T21:55:09.000Z","Sun Jun 06 21:55:09 +0000 2021","7","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4546302,-70.6374984 ","4","0","",""
"1401658377437171712","Bomberos de Santiago ha despachado 2 carros a una Emanación de gas en las esquinas de LIRA y COQUIMBO, en la comuna de SANTIAGO #Santiago #H4 #B10 https://t.co/we4Nxe2wQU","Bomberos de Santiago","CentralCBS","2021-06-06T21:52:53.000Z","Sun Jun 06 21:52:53 +0000 2021","8","3","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4546302,-70.6374984 ","3","0","",""
"1401636547477311491","A esta hora, sale un carro de Bomberos de Santiago a una emergencia por rescate de persona (s) en las esquinas de AVENIDA CONDELL y MARÍA LUISA SANTANDER, en la comuna de PROVIDENCIA #Providencia #RH1 https://t.co/YnWuwwVEgH","Bomberos de Santiago","CentralCBS","2021-06-06T20:26:08.000Z","Sun Jun 06 20:26:08 +0000 2021","6","3","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4387395,-70.6275797 ","2","0","",""
"1401610261329481731","Hemos despachado 3 carros a una emergencia por presunta emanación de gas en las esquinas de AVENIDA FRANCISCO BILBAO y DUQUECO, en la comuna de LAS CONDES #LasCondes #H4Ñ #B20 #H18 https://t.co/wOvZU27QH1","Bomberos de Santiago","CentralCBS","2021-06-06T18:41:41.000Z","Sun Jun 06 18:41:41 +0000 2021","4","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4295051,-70.5479479 ","4","0","",""
"1401609118402633733","Se despachan 2 carros de Bomberos de Santiago a AVENIDA FRANCISCO BILBAO y DUQUECO, comuna de LAS CONDES. Se recibió reporte de una Emanación de gas #LasCondes #H4Ñ #B20 https://t.co/wOvZU27QH1","Bomberos de Santiago","CentralCBS","2021-06-06T18:37:09.000Z","Sun Jun 06 18:37:09 +0000 2021","3","1","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4295051,-70.5479479 ","3","0","",""
"1401591639706157062","Bomberos de Santiago ha despachado 2 carros a emergencia en otra jurisdicción en las esquinas de JOSE JOAQUIN VALLEDOR y AVENIDA JOSE JOAQUIN PEREZ, en la comuna de QUINTA NORMAL #QuintaNormal #B9 #MX13 https://t.co/vAJEEQsTxk","Bomberos de Santiago","CentralCBS","2021-06-06T17:27:41.000Z","Sun Jun 06 17:27:41 +0000 2021","7","4","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4317203927953,-70.6974922712774 ","3","0","",""
"1401580344869072901","Se despachan 3 carros de Bomberos de Santiago a CAMINO LA PIRÁMIDE y CAMINO FEDERICO ALBERT, comuna de VITACURA. Se recibió reporte de una emergencia por rescate de persona (s) #Vitacura #RH19 #RM19 #B14 https://t.co/6bsJeG1GnA","Bomberos de Santiago","CentralCBS","2021-06-06T16:42:48.000Z","Sun Jun 06 16:42:48 +0000 2021","8","5","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.3861411,-70.5998956 ","4","0","",""
"1401578074483871748","Se despachan 2 carros de Bomberos de Santiago a CALLE NUEVA y LOS RETAMOS, comuna de RENCA. Se recibió reporte de una emergencia por presunta emanación de gas #Renca #H4 #B21 https://t.co/o7ZrfoVe28","Bomberos de Santiago","CentralCBS","2021-06-06T16:33:47.000Z","Sun Jun 06 16:33:47 +0000 2021","5","2","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.3974713,-70.6970131 ","3","0","",""
"1401571190276333579","A esta hora, salen 2 carros de Bomberos de Santiago a un Rescate en accidente de tránsito en las esquinas de TOESCA y JOSÉ MIGUEL CARRERA, en la comuna de SANTIAGO #Santiago #RX7 #B17 https://t.co/IshVkN2RLv","Bomberos de Santiago","CentralCBS","2021-06-06T16:06:26.000Z","Sun Jun 06 16:06:26 +0000 2021","9","2","es","<a href=""https://vipertwitter.exefire.cl"" rel=""nofollow"">EMNSpro</a>","Tweet","https://maps.google.com/?q=-33.4536694,-70.6629848 ","3","0","",""
